Time,Log comp,Status,Username,Src IP,Auth client,Auth mechanism,Message,Message ID,Live PCAP
2026-03-10 02:00:09,VPN Portal Authentication,Failed,admin,93.152.221.57,N/A,AD,Access from IP address '93.152.221.57' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:00:22,VPN Portal Authentication,Failed,https,93.152.221.208,N/A,AD,User https failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:00:34,VPN Portal Authentication,Failed,administrator,93.152.221.220,N/A,AD,Access from IP address '93.152.221.220' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:00:44,VPN Portal Authentication,Failed,test,93.152.221.46,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:00:53,VPN Portal Authentication,Failed,administrator,93.152.221.202,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:01:06,VPN Portal Authentication,Failed,root,93.152.221.107,N/A,AD,Access from IP address '93.152.221.107' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:01:13,VPN Portal Authentication,Failed,usuario1,93.152.221.147,N/A,AD,Access from IP address '93.152.221.147' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:01:27,VPN Portal Authentication,Failed,administrator,93.152.221.131,N/A,AD,Access from IP address '93.152.221.131' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:01:32,VPN Portal Authentication,Failed,root,93.152.221.45,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:01:40,VPN Portal Authentication,Failed,administrator,93.152.221.46,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:01:52,VPN Portal Authentication,Failed,usuario1,93.152.221.198,N/A,AD,Access from IP address '93.152.221.198' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:01:58,VPN Portal Authentication,Failed,administrator,93.152.221.58,N/A,AD,Access from IP address '93.152.221.58' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:02:06,VPN Portal Authentication,Failed,admin,93.152.221.11,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:02:10,VPN Portal Authentication,Failed,admin,93.152.221.235,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:02:13,VPN Portal Authentication,Failed,administrator,93.152.221.33,N/A,AD,Access from IP address '93.152.221.33' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:02:21,VPN Portal Authentication,Failed,https,93.152.221.242,N/A,AD,User https failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:02:30,VPN Portal Authentication,Failed,root,93.152.221.200,N/A,AD,Access from IP address '93.152.221.200' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:02:37,VPN Portal Authentication,Failed,https,93.152.221.144,N/A,AD,Access from IP address '93.152.221.144' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:02:48,VPN Portal Authentication,Failed,root,93.152.221.1,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:02:50,VPN Portal Authentication,Failed,administrator,93.152.221.137,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:02:59,VPN Portal Authentication,Failed,test,93.152.221.238,N/A,AD,Access from IP address '93.152.221.238' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:03:07,VPN Portal Authentication,Failed,root,93.152.221.51,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:03:11,VPN Portal Authentication,Failed,root,93.152.221.76,N/A,AD,Access from IP address '93.152.221.76' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:03:15,VPN Portal Authentication,Failed,admin,93.152.221.47,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:03:25,VPN Portal Authentication,Failed,backup,93.152.221.34,N/A,AD,User backup failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:03:32,VPN Portal Authentication,Failed,test,93.152.221.202,N/A,AD,Access from IP address '93.152.221.202' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:03:40,VPN Portal Authentication,Failed,administrator,93.152.221.67,N/A,AD,Access from IP address '93.152.221.67' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:03:42,VPN Portal Authentication,Failed,administrator,93.152.221.73,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:03:54,VPN Portal Authentication,Failed,admin,93.152.221.75,N/A,AD,Access from IP address '93.152.221.75' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:03:55,VPN Portal Authentication,Failed,administrator,93.152.221.85,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:02,VPN Portal Authentication,Failed,admin,93.152.221.75,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:09,VPN Portal Authentication,Failed,test,93.152.221.181,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:21,VPN Portal Authentication,Failed,administrator,93.152.221.61,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:25,VPN Portal Authentication,Failed,administrator,93.152.221.24,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:38,VPN Portal Authentication,Failed,test,93.152.221.39,N/A,AD,Access from IP address '93.152.221.39' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:04:40,VPN Portal Authentication,Failed,administrator,93.152.221.135,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:48,VPN Portal Authentication,Failed,root,93.152.221.81,N/A,AD,User root failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:04:57,VPN Portal Authentication,Failed,administrator,93.152.221.195,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:05:11,VPN Portal Authentication,Failed,administrator,93.152.221.144,N/A,AD,Access from IP address '93.152.221.144' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:05:25,VPN Portal Authentication,Failed,administrator,93.152.221.121,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:05:40,VPN Portal Authentication,Failed,https,93.152.221.17,N/A,AD,Access from IP address '93.152.221.17' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:05:45,VPN Portal Authentication,Failed,vpnuser,93.152.221.195,N/A,AD,Access from IP address '93.152.221.195' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:05:56,VPN Portal Authentication,Failed,administrator,93.152.221.208,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:06:00,VPN Portal Authentication,Failed,backup,93.152.221.253,N/A,AD,Access from IP address '93.152.221.253' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:06:03,VPN Portal Authentication,Failed,vpnuser,93.152.221.61,N/A,AD,Access from IP address '93.152.221.61' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:06:04,VPN Portal Authentication,Failed,root,93.152.221.1,N/A,AD,Access from IP address '93.152.221.1' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:06:19,VPN Portal Authentication,Failed,administrator,93.152.221.228,N/A,AD,Access from IP address '93.152.221.228' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:06:23,VPN Portal Authentication,Failed,test,93.152.221.53,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:06:27,VPN Portal Authentication,Failed,admin,93.152.221.7,N/A,AD,Access from IP address '93.152.221.7' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:06:36,VPN Portal Authentication,Failed,admin,93.152.221.132,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:06:43,VPN Portal Authentication,Failed,test,93.152.221.88,N/A,AD,User test failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:06:58,VPN Portal Authentication,Failed,administrator,93.152.221.233,N/A,AD,Access from IP address '93.152.221.233' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:07:07,VPN Portal Authentication,Failed,administrator,93.152.221.74,N/A,AD,Access from IP address '93.152.221.74' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:07:11,VPN Portal Authentication,Failed,admin,93.152.221.65,N/A,AD,User admin failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:07:20,VPN Portal Authentication,Failed,administrator,93.152.221.131,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
2026-03-10 02:07:30,VPN Portal Authentication,Failed,administrator,93.152.221.183,N/A,AD,Access from IP address '93.152.221.183' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:07:40,VPN Portal Authentication,Failed,administrator,93.152.221.115,N/A,AD,Access from IP address '93.152.221.115' is blocked for '5' minutes after '5' unsuccessful login attempts,17719,Open PCAP
2026-03-10 02:07:55,VPN Portal Authentication,Failed,administrator,93.152.221.4,N/A,AD,User administrator failed to login to VPN portal through AD. Local authentication mechanism because of wrong credentials,17719,Open PCAP
